goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
cpu: Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-4 	 1234134	       950.3 ns/op	     13056 gas/op	     13739 mgas/s	     688 B/op	      15 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-4         	  538040	      2150 ns/op	       204.0 gas/op	        94.88 mgas/s	    1176 B/op	      20 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-4         	  550783	      2102 ns/op	       204.0 gas/op	        97.06 mgas/s	    1176 B/op	      20 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-4         	  571885	      2137 ns/op	       204.0 gas/op	        95.46 mgas/s	    1176 B/op	      20 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-4         	  606895	      2130 ns/op	       204.0 gas/op	        95.79 mgas/s	    1176 B/op	      20 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-4         	  513110	      2111 ns/op	       204.0 gas/op	        96.62 mgas/s	    1176 B/op	      20 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-4         	  482102	      2142 ns/op	       204.0 gas/op	        95.22 mgas/s	    1176 B/op	      20 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-4         	  552730	      2113 ns/op	       204.0 gas/op	        96.53 mgas/s	    1176 B/op	      20 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-4         	  502340	      2109 ns/op	       204.0 gas/op	        96.71 mgas/s	    1176 B/op	      20 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-4         	  549961	      2077 ns/op	       204.0 gas/op	        98.23 mgas/s	    1176 B/op	      20 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-4         	  601868	      2139 ns/op	       204.0 gas/op	        95.38 mgas/s	    1176 B/op	      20 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-4           	  415695	      2753 ns/op	       204.0 gas/op	        74.09 mgas/s	    1464 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-4           	  402566	      2803 ns/op	       204.0 gas/op	        72.77 mgas/s	    1464 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-4           	  374228	      2754 ns/op	       204.0 gas/op	        74.07 mgas/s	    1464 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-4           	  378974	      2812 ns/op	       204.0 gas/op	        72.53 mgas/s	    1464 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-4           	  434996	      2792 ns/op	       204.0 gas/op	        73.06 mgas/s	    1464 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-4           	  426465	      2804 ns/op	       204.0 gas/op	        72.74 mgas/s	    1464 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-4           	  353172	      2854 ns/op	       204.0 gas/op	        71.48 mgas/s	    1464 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-4           	  394657	      2780 ns/op	       204.0 gas/op	        73.38 mgas/s	    1464 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-4           	  431436	      2828 ns/op	       204.0 gas/op	        72.12 mgas/s	    1464 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-4           	  414337	      2736 ns/op	       204.0 gas/op	        74.55 mgas/s	    1464 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-4    	   92811	     12629 ns/op	      3276 gas/op	       259.4 mgas/s	    1960 B/op	      24 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-4    	   94540	     12643 ns/op	      3276 gas/op	       259.1 mgas/s	    1960 B/op	      24 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-4    	   93717	     12686 ns/op	      3276 gas/op	       258.2 mgas/s	    1960 B/op	      24 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-4    	   95238	     12505 ns/op	      3276 gas/op	       262.0 mgas/s	    1960 B/op	      24 allocs/op
